,aereo,traiettoria,partenza in sec,arrivo in sec,tempo percorso,tempo minimo,delay
508,AA67352735,,75510,60602,-14908,-14908,0
509,AA67351793,,75510,60602,-14908,-14908,0
510,AA67339638,,75510,60602,-14908,-14908,0
511,AA67355309,,75510,60602,-14908,-14908,0
512,AA67363872,,75510,60602,-14908,-14908,0
513,AA67365437,,75510,60602,-14908,-14908,0
514,AA67356997,,75510,60602,-14908,-14908,0
515,AA67340622,,75510,60602,-14908,-14908,0
516,AA67367391,,75510,60602,-14908,-14908,0
517,AA67363693,,75510,60602,-14908,-14908,0
518,AA67349446,,75510,60602,-14908,-14908,0
519,AA67359922,,75510,60602,-14908,-14908,0
520,AA67363534,,75510,60602,-14908,-14908,0
521,AA67356775,,75510,60602,-14908,-14908,0
522,AA67339563,,75510,60602,-14908,-14908,0
523,AA67356072,,75510,60602,-14908,-14908,0
524,AA67367109,,75510,60602,-14908,-14908,0
525,AA67356728,,75510,60602,-14908,-14908,0
526,AA67355888,,75510,60602,-14908,-14908,0
527,AA67355504,,75510,60602,-14908,-14908,0
528,AA67350345,,75510,60602,-14908,-14908,0
529,AA67351684,,75510,60602,-14908,-14908,0
530,AA67356038,,75510,60602,-14908,-14908,0
531,AA67356040,,75510,60602,-14908,-14908,0
532,AA67359538,,75510,60602,-14908,-14908,0
533,AA67343274,,75510,60602,-14908,-14908,0
534,AA67365710,,75510,60602,-14908,-14908,0
535,AA67354312,,75510,60602,-14908,-14908,0
536,AA67360035,,75510,60602,-14908,-14908,0
537,AA67360203,,75510,60602,-14908,-14908,0
538,AA67352608,,75510,60602,-14908,-14908,0
539,AA67367856,,75510,60602,-14908,-14908,0
540,AA67343486,,75510,60602,-14908,-14908,0
541,AA67365136,,75510,60602,-14908,-14908,0
542,AA67364219,,75510,60602,-14908,-14908,0
543,AA67365087,,75510,60602,-14908,-14908,0
544,AA67350182,,75510,60602,-14908,-14908,0
545,AA67352166,,75510,60602,-14908,-14908,0
546,AA67365395,,75510,60602,-14908,-14908,0
547,AA67350420,,75510,60602,-14908,-14908,0
548,AA67354685,,75510,60602,-14908,-14908,0
549,AA67358482,,75510,60602,-14908,-14908,0
550,AA67369205,,75510,60602,-14908,-14908,0
551,AA67365247,,75510,60602,-14908,-14908,0
552,AA67351265,,75510,60602,-14908,-14908,0
553,AA67344169,,75510,60602,-14908,-14908,0
554,AA67355310,,75510,60602,-14908,-14908,0
555,AA67356168,,75510,60602,-14908,-14908,0
556,AA67350499,,75510,60602,-14908,-14908,0
557,AA67365321,,75510,60602,-14908,-14908,0
558,AA67367136,,75510,60602,-14908,-14908,0
559,AA67365200,,75510,60602,-14908,-14908,0
560,AA67368290,,75510,60602,-14908,-14908,0
561,AA67348407,,75510,60602,-14908,-14908,0
562,AA67350214,,75510,60602,-14908,-14908,0
563,AA67359063,,75510,60602,-14908,-14908,0
564,AA67352278,,75510,60602,-14908,-14908,0
565,AA67357795,,75510,60602,-14908,-14908,0
566,AA67365514,,75510,60602,-14908,-14908,0
567,AA67352986,,75510,60602,-14908,-14908,0
568,AA67340916,,75510,60602,-14908,-14908,0
569,AA67340300,,75510,60602,-14908,-14908,0
570,AA67366699,,75510,60602,-14908,-14908,0
571,AA67369305,,75510,60602,-14908,-14908,0
572,AA67371505,,75510,60602,-14908,-14908,0
573,AA67354353,,75510,60602,-14908,-14908,0
574,AA67363560,,75510,60602,-14908,-14908,0
575,AA67367468,,75510,60602,-14908,-14908,0
576,AA67349603,,75510,60602,-14908,-14908,0
577,AA67367129,,75510,60602,-14908,-14908,0
578,AA67369056,,75510,60602,-14908,-14908,0
579,AA67367177,,75510,60602,-14908,-14908,0
580,AA67363135,,75510,60602,-14908,-14908,0
581,AA67356543,,75510,60602,-14908,-14908,0
582,AA67367323,,75510,60602,-14908,-14908,0
583,AA67367431,,75510,60602,-14908,-14908,0
584,AA67363978,,75510,60602,-14908,-14908,0
585,AA67355951,,75510,60602,-14908,-14908,0
586,AA67370123,,75510,60602,-14908,-14908,0
587,AA67339681,,75510,60602,-14908,-14908,0
588,AA67372916,,75510,60602,-14908,-14908,0
589,AA67371681,,75510,60602,-14908,-14908,0
590,AA67343492,,75510,60602,-14908,-14908,0
591,AA67368388,,75510,60602,-14908,-14908,0
592,AA67371626,,75510,60602,-14908,-14908,0
593,AA67368284,,75510,60602,-14908,-14908,0
594,AA67361174,,75510,60602,-14908,-14908,0
595,AA67368527,,75510,60602,-14908,-14908,0
596,AA67368586,,75510,60602,-14908,-14908,0
597,AA67343385,,75510,60602,-14908,-14908,0
598,AA67351749,,75510,60602,-14908,-14908,0
599,AA67370737,,75510,60602,-14908,-14908,0
600,AA67354596,,75510,60602,-14908,-14908,0
